280228	280501	280501	280933
281933	282205	282205	282479
283479	283758	283758	284032
285032	285323	285323	285938
286938	287616	287616	287890
288890	289162	289162	289616
290616	290887	290887	291401
292401	292699	292700	293094
294094	294552	294552	295563
296563	296834	296834	297482
298482	298754	298754	299354
300354	300702	300702	301448
302448	302887	302887	303705
304705	305141	305141	305621
306621	306893	306893	307453
308453	308733	308733	309285
310285	310563	310563	311143
312144	312420	312420	313065
314065	314394	314394	315076
316076	316364	316364	316980
317980	318513	318513	318903
319903	320361	320361	320665
321666	322067	322067	322663
323663	323935	323935	324234
325234	325560	325560	326197
327197	327560	327560	328208
329208	329562	329562	329861
330861	331153	331153	331505
332505	332929	332929	333203
334203	334474	334474	334835
335835	336125	336125	336742
337742	338222	338222	339041
340041	340476	340476	341095
342095	342483	342483	342791
343791	344062	344062	344632
345632	345904	345904	346477
347478	347750	347750	348319
349320	349663	349663	350026
351026	351337	351337	352013
353013	353322	353322	353933
354934	355336	355336	355944
356944	357231	357231	357847
358847	359122	359122	359689
360689	361507	361507	362459
363459	363768	363768	364381
365381	365779	365779	366393
367393	367678	367678	368268
369268	369539	369539	370138
371138	371413	371413	371983
372983	373305	373305	373785
374785	375198	375198	375816
376816	377245	377245	377861
378861	379277	379277	379965
380965	381591	381591	382428
383428	383705	383705	384273
385274	385666	385666	385996
386996	387288	387288	387651
388651	388922	388922	389496
390496	390807	390807	391478
392478	392755	392755	393479
394479	394752	394752	395331
396331	396606	396606	397182
398182	398454	398454	399020
400020	400294	400294	401277
402277	402742	402742	403620
404620	404893	404893	405488
406488	406924	406924	407488
408489	408768	408768	409357
410357	410760	410760	411350
412350	412785	412785	413399
414399	414835	414835	415449
416449	416979	416979	417761
418761	419037	419037	419914
420914	421223	421223	421840
422840	423601	423601	423875
424876	425442	425442	426058
427058	427370	427370	427678
428678	429075	429075	430054
431054	431366	431366	431982
432983	433378	433378	433994
434994	435360	435360	435972
436972	437371	437371	437983
438983	439277	439277	439886
440886	441161	441161	441696
442696	442971	442971	443330
444330	444800	444800	445429
446429	447252	447252	447799
448799	449350	449350	449964
450964	451398	451398	452019
453019	453403	453403	454016
455016	455293	455293	455575
456575	457037	457037	457628
458628	458932	458932	459548
460548	460824	460824	461726
462726	463095	463095	463665
464665	465078	465078	465628
466628	466924	466924	467538
468538	468812	468812	469769
470769	471087	471087	472145
473145	473421	473421	474302
475302	475610	475610	476288
477288	477680	477680	478293
479293	479616	479616	480172
481172	481673	481673	482261
483261	483609	483609	484296
485296	485706	485706	486554
487554	487961	487961	488779
489779	490194	490194	490742
491742	492116	492116	493037
